image_uid,image_path,style,style_abbrev,metric,dc,dw
data/compromise_building/apartment/town/1011|1011,data/compromise_building/apartment/town/1011.JPG,Chinese_Art_Deco,Ch-AD,Per_LPIPS-O,0.6360141313383209,0.98119285120532
data/compromise_building/apartment/town/1011|1011,data/compromise_building/apartment/town/1011.JPG,Chinese_Art_Deco,Ch-AD,Sem_CLIP-S,0.095906068162926,0.904093931837074
data/compromise_building/apartment/town/1011|1011,data/compromise_building/apartment/town/1011.JPG,Chinese_Art_Deco,Ch-AD,Str_EH-D,0.8623233582709892,0.7268287614297589
data/compromise_building/apartment/town/1011|1011,data/compromise_building/apartment/town/1011.JPG,Chinese_Art_Deco,Ch-AD,Str_SSIM-D,0.5262884455527848,0.6869285120532004
data/compromise_building/apartment/town/1011|1011,data/compromise_building/apartment/town/1011.JPG,Chinese_Art_Deco,Ch-AD,Tex_GLCM-C,0.0317955112219451,0.9665419783873648
data/compromise_building/apartment/town/1011|1011,data/compromise_building/apartment/town/1011.JPG,Chinese_Art_Deco,Ch-AD,Tex_Gram-D,0.1646924355777224,0.7426226101413134
data/compromise_building/apartment/town/1012|1012,data/compromise_building/apartment/town/1012.JPG,Chinese_Art_Deco,Ch-AD,Col_HSV-B,0.4136533665835411,0.6202202826267664
data/compromise_building/apartment/town/1012|1012,data/compromise_building/apartment/town/1012.JPG,Chinese_Art_Deco,Ch-AD,Col_HSV-M,0.3438279301745636,0.452930174563591
data/compromise_building/apartment/town/1012|1012,data/compromise_building/apartment/town/1012.JPG,Chinese_Art_Deco,Ch-AD,Per_LPIPS-O,0.559123025768911,0.5368869492934331
data/compromise_building/apartment/town/1012|1012,data/compromise_building/apartment/town/1012.JPG,Chinese_Art_Deco,Ch-AD,Sem_CLIP-S,0.290211970074813,0.7097880299251871
data/compromise_building/apartment/town/1012|1012,data/compromise_building/apartment/town/1012.JPG,Chinese_Art_Deco,Ch-AD,Str_EH-D,0.1364297589359934,0.5755403158769742
data/compromise_building/apartment/town/1012|1012,data/compromise_building/apartment/town/1012.JPG,Chinese_Art_Deco,Ch-AD,Str_SSIM-D,0.7299459684123025,0.8560889443059019
data/compromise_building/apartment/town/1012|1012,data/compromise_building/apartment/town/1012.JPG,Chinese_Art_Deco,Ch-AD,Tex_GLCM-C,0.3284497090606816,0.6715502909393184
data/compromise_building/apartment/town/1012|1012,data/compromise_building/apartment/town/1012.JPG,Chinese_Art_Deco,Ch-AD,Tex_Gram-D,0.0532003325020781,0.864713216957606
data/compromise_building/apartment/town/1013|1013,data/compromise_building/apartment/town/1013.JPG,Chinese_Art_Deco,Ch-AD,Col_HSV-B,0.3461138819617622,0.5632793017456359
data/compromise_building/apartment/town/1013|1013,data/compromise_building/apartment/town/1013.JPG,Chinese_Art_Deco,Ch-AD,Col_HSV-M,0.3363466334164589,0.1586658354114713
data/compromise_building/apartment/town/1013|1013,data/compromise_building/apartment/town/1013.JPG,Chinese_Art_Deco,Ch-AD,Per_LPIPS-O,0.5707605985037406,0.4757896924355777
data/compromise_building/apartment/town/1013|1013,data/compromise_building/apartment/town/1013.JPG,Chinese_Art_Deco,Ch-AD,Sem_CLIP-S,0.2967581047381546,0.7032418952618454
data/compromise_building/apartment/town/1013|1013,data/compromise_building/apartment/town/1013.JPG,Chinese_Art_Deco,Ch-AD,Str_EH-D,0.403262676641729,0.1225062344139651
data/compromise_building/apartment/town/1013|1013,data/compromise_building/apartment/town/1013.JPG,Chinese_Art_Deco,Ch-AD,Str_SSIM-D,0.6962801330008312,0.8396716541978387
data/compromise_building/apartment/town/1013|1013,data/compromise_building/apartment/town/1013.JPG,Chinese_Art_Deco,Ch-AD,Tex_GLCM-C,0.2112427265170407,0.7887572734829593
data/compromise_building/apartment/town/1013|1013,data/compromise_building/apartment/town/1013.JPG,Chinese_Art_Deco,Ch-AD,Tex_Gram-D,0.0532003325020781,0.9599958437240232
data/compromise_building/apartment/town/1014|1014,data/compromise_building/apartment/town/1014.JPG,Chinese_Art_Deco,Ch-AD,Col_HSV-B,0.0395885286783042,0.218308395677473
