image_uid,image_path,style,style_abbrev,metric,dc,dw
demo/Eva_Set/CH-BYZ/_DSC0107.jpg,C:/Users/41464/SFI_gallery/demo_publish_scheme1_bundle_ULTRALITE/demo_data/Eva_Set/CH-BYZ/_DSC0107.jpg,Chinese_Byzantine_Revival,Ch-BYZ,Col_HSV-B_demo,0.6665392714337899,
demo/Eva_Set/CH-BYZ/_DSC0107.jpg,C:/Users/41464/SFI_gallery/demo_publish_scheme1_bundle_ULTRALITE/demo_data/Eva_Set/CH-BYZ/_DSC0107.jpg,Chinese_Byzantine_Revival,Ch-BYZ,Str_SSIM-D_demo,0.8760155537274026,
demo/Eva_Set/CH-BYZ/DSC_2796.jpg,C:/Users/41464/SFI_gallery/demo_publish_scheme1_bundle_ULTRALITE/demo_data/Eva_Set/CH-BYZ/DSC_2796.jpg,Chinese_Byzantine_Revival,Ch-BYZ,Col_HSV-B_demo,0.5371532823657772,
demo/Eva_Set/CH-BYZ/DSC_2796.jpg,C:/Users/41464/SFI_gallery/demo_publish_scheme1_bundle_ULTRALITE/demo_data/Eva_Set/CH-BYZ/DSC_2796.jpg,Chinese_Byzantine_Revival,Ch-BYZ,Str_SSIM-D_demo,0.7744178496302709,
demo/Eva_Set/CH-BYZ/DSC_2803.jpg,C:/Users/41464/SFI_gallery/demo_publish_scheme1_bundle_ULTRALITE/demo_data/Eva_Set/CH-BYZ/DSC_2803.jpg,Chinese_Byzantine_Revival,Ch-BYZ,Col_HSV-B_demo,0.9588903253315124,
demo/Eva_Set/CH-BYZ/DSC_2803.jpg,C:/Users/41464/SFI_gallery/demo_publish_scheme1_bundle_ULTRALITE/demo_data/Eva_Set/CH-BYZ/DSC_2803.jpg,Chinese_Byzantine_Revival,Ch-BYZ,Str_SSIM-D_demo,0.6878750599117429,
demo/Eva_Set/CH-BYZ/DSC_2807.jpg,C:/Users/41464/SFI_gallery/demo_publish_scheme1_bundle_ULTRALITE/demo_data/Eva_Set/CH-BYZ/DSC_2807.jpg,Chinese_Byzantine_Revival,Ch-BYZ,Col_HSV-B_demo,0.6011950449707779,
demo/Eva_Set/CH-BYZ/DSC_2807.jpg,C:/Users/41464/SFI_gallery/demo_publish_scheme1_bundle_ULTRALITE/demo_data/Eva_Set/CH-BYZ/DSC_2807.jpg,Chinese_Byzantine_Revival,Ch-BYZ,Str_SSIM-D_demo,0.9020821043070324,
demo/Eva_Set/CH-BYZ/DSC_2818.jpg,C:/Users/41464/SFI_gallery/demo_publish_scheme1_bundle_ULTRALITE/demo_data/Eva_Set/CH-BYZ/DSC_2818.jpg,Chinese_Byzantine_Revival,Ch-BYZ,Col_HSV-B_demo,0.5179678968059525,
demo/Eva_Set/CH-BYZ/DSC_2818.jpg,C:/Users/41464/SFI_gallery/demo_publish_scheme1_bundle_ULTRALITE/demo_data/Eva_Set/CH-BYZ/DSC_2818.jpg,Chinese_Byzantine_Revival,Ch-BYZ,Str_SSIM-D_demo,0.813024938910298,
demo/Eva_Set/CH-GOTH/_DSC0078.jpg,C:/Users/41464/SFI_gallery/demo_publish_scheme1_bundle_ULTRALITE/demo_data/Eva_Set/CH-GOTH/_DSC0078.jpg,Chinese_Gothic_Revival,Ch-GOTH,Col_HSV-B_demo,0.5861762622547111,
demo/Eva_Set/CH-GOTH/_DSC0078.jpg,C:/Users/41464/SFI_gallery/demo_publish_scheme1_bundle_ULTRALITE/demo_data/Eva_Set/CH-GOTH/_DSC0078.jpg,Chinese_Gothic_Revival,Ch-GOTH,Str_SSIM-D_demo,0.6981256665561015,
demo/Eva_Set/CH-GOTH/_DSC0083.jpg,C:/Users/41464/SFI_gallery/demo_publish_scheme1_bundle_ULTRALITE/demo_data/Eva_Set/CH-GOTH/_DSC0083.jpg,Chinese_Gothic_Revival,Ch-GOTH,Col_HSV-B_demo,0.7686726910683358,
demo/Eva_Set/CH-GOTH/_DSC0083.jpg,C:/Users/41464/SFI_gallery/demo_publish_scheme1_bundle_ULTRALITE/demo_data/Eva_Set/CH-GOTH/_DSC0083.jpg,Chinese_Gothic_Revival,Ch-GOTH,Str_SSIM-D_demo,0.7828116725866403,
demo/Eva_Set/CH-GOTH/_DSC0086.jpg,C:/Users/41464/SFI_gallery/demo_publish_scheme1_bundle_ULTRALITE/demo_data/Eva_Set/CH-GOTH/_DSC0086.jpg,Chinese_Gothic_Revival,Ch-GOTH,Col_HSV-B_demo,0.7725289992146467,
demo/Eva_Set/CH-GOTH/_DSC0086.jpg,C:/Users/41464/SFI_gallery/demo_publish_scheme1_bundle_ULTRALITE/demo_data/Eva_Set/CH-GOTH/_DSC0086.jpg,Chinese_Gothic_Revival,Ch-GOTH,Str_SSIM-D_demo,0.8598099146203406,
demo/Eva_Set/CH-GOTH/_DSC0099.jpg,C:/Users/41464/SFI_gallery/demo_publish_scheme1_bundle_ULTRALITE/demo_data/Eva_Set/CH-GOTH/_DSC0099.jpg,Chinese_Gothic_Revival,Ch-GOTH,Col_HSV-B_demo,0.6642720744993266,
demo/Eva_Set/CH-GOTH/_DSC0099.jpg,C:/Users/41464/SFI_gallery/demo_publish_scheme1_bundle_ULTRALITE/demo_data/Eva_Set/CH-GOTH/_DSC0099.jpg,Chinese_Gothic_Revival,Ch-GOTH,Str_SSIM-D_demo,0.9596804973504947,
demo/Eva_Set/CH-GOTH/DSC_2787.jpg,C:/Users/41464/SFI_gallery/demo_publish_scheme1_bundle_ULTRALITE/demo_data/Eva_Set/CH-GOTH/DSC_2787.jpg,Chinese_Gothic_Revival,Ch-GOTH,Col_HSV-B_demo,0.7171700882852765,
demo/Eva_Set/CH-GOTH/DSC_2787.jpg,C:/Users/41464/SFI_gallery/demo_publish_scheme1_bundle_ULTRALITE/demo_data/Eva_Set/CH-GOTH/DSC_2787.jpg,Chinese_Gothic_Revival,Ch-GOTH,Str_SSIM-D_demo,0.9078173299527302,
demo/Eva_Set/CH-NEO/_DSC0987.jpg,C:/Users/41464/SFI_gallery/demo_publish_scheme1_bundle_ULTRALITE/demo_data/Eva_Set/CH-NEO/_DSC0987.jpg,Chinese_Neoclassical,Ch-NEO,Col_HSV-B_demo,0.4773594230667668,
demo/Eva_Set/CH-NEO/_DSC0987.jpg,C:/Users/41464/SFI_gallery/demo_publish_scheme1_bundle_ULTRALITE/demo_data/Eva_Set/CH-NEO/_DSC0987.jpg,Chinese_Neoclassical,Ch-NEO,Str_SSIM-D_demo,0.7103916149037404,
demo/Eva_Set/CH-NEO/_DSC1045.jpg,C:/Users/41464/SFI_gallery/demo_publish_scheme1_bundle_ULTRALITE/demo_data/Eva_Set/CH-NEO/_DSC1045.jpg,Chinese_Neoclassical,Ch-NEO,Col_HSV-B_demo,1.1092670964561848,
demo/Eva_Set/CH-NEO/_DSC1045.jpg,C:/Users/41464/SFI_gallery/demo_publish_scheme1_bundle_ULTRALITE/demo_data/Eva_Set/CH-NEO/_DSC1045.jpg,Chinese_Neoclassical,Ch-NEO,Str_SSIM-D_demo,1.0557182769571054,
demo/Eva_Set/CH-NEO/_DSC1084.jpg,C:/Users/41464/SFI_gallery/demo_publish_scheme1_bundle_ULTRALITE/demo_data/Eva_Set/CH-NEO/_DSC1084.jpg,Chinese_Neoclassical,Ch-NEO,Col_HSV-B_demo,0.6482552816853064,
demo/Eva_Set/CH-NEO/_DSC1084.jpg,C:/Users/41464/SFI_gallery/demo_publish_scheme1_bundle_ULTRALITE/demo_data/Eva_Set/CH-NEO/_DSC1084.jpg,Chinese_Neoclassical,Ch-NEO,Str_SSIM-D_demo,0.6886345663284962,
demo/Eva_Set/CH-NEO/DSC_3400.jpg,C:/Users/41464/SFI_gallery/demo_publish_scheme1_bundle_ULTRALITE/demo_data/Eva_Set/CH-NEO/DSC_3400.jpg,Chinese_Neoclassical,Ch-NEO,Col_HSV-B_demo,0.8604188322027905,
demo/Eva_Set/CH-NEO/DSC_3400.jpg,C:/Users/41464/SFI_gallery/demo_publish_scheme1_bundle_ULTRALITE/demo_data/Eva_Set/CH-NEO/DSC_3400.jpg,Chinese_Neoclassical,Ch-NEO,Str_SSIM-D_demo,0.7683688110890865,
demo/Eva_Set/CH-NEO/DSC_3589.jpg,C:/Users/41464/SFI_gallery/demo_publish_scheme1_bundle_ULTRALITE/demo_data/Eva_Set/CH-NEO/DSC_3589.jpg,Chinese_Neoclassical,Ch-NEO,Col_HSV-B_demo,0.7217896129878143,
demo/Eva_Set/CH-NEO/DSC_3589.jpg,C:/Users/41464/SFI_gallery/demo_publish_scheme1_bundle_ULTRALITE/demo_data/Eva_Set/CH-NEO/DSC_3589.jpg,Chinese_Neoclassical,Ch-NEO,Str_SSIM-D_demo,0.7178840534607138,
